CD	ID	FD	WD	ED
8	1	2	0	6
13	2	5	0	8
13	3	5	0	8
15	4	6	0	9
26	5	18	0	8
32	6	22	0	10
33	7	27	0	6
37	11	31	0	6
37	8	30	0	7
45	13	36	0	9
46	12	36	0	10
49	9	31	0	18
51	10	31	0	20
57	19	53	0	4
58	17	52	0	6
60	14	48	0	12
61	16	49	0	12
61	18	53	0	8
70	20	54	0	16
72	23	69	0	3
73	15	61	0	12
76	21	67	0	9
77	22	68	0	9
77	24	69	0	8
80	26	69	0	11
80	27	69	0	11
82	28	70	0	12
83	25	69	8	6
87	29	70	7	10
95	30	92	0	3
96	31	93	0	3
98	32	95	0	3
105	40	100	0	5
105	33	99	0	6
106	35	99	0	7
107	34	99	0	8
107	53	104	1	2
108	36	100	0	8
108	41	100	0	8
108	52	104	1	3
110	39	100	0	10
114	48	101	7	6
115	46	101	6	8
116	51	101	6	9
118	42	100	8	10
119	45	101	7	11
121	47	101	15	5
121	38	100	0	21
123	49	101	17	5
125	44	100	15	10
125	43	100	14	11
129	50	101	20	8
130	37	115	0	15
131	54	110	15	6
135	57	130	0	5
136	55	114	15	7
136	56	130	0	6
142	58	133	0	9
142	59	135	0	7
142	60	135	0	7
145	65	142	0	3
145	66	142	0	3
146	63	142	0	4
147	61	140	0	7
147	64	142	0	5
149	68	142	0	7
150	67	146	0	4
150	62	140	0	10
156	69	150	0	6
157	70	150	0	7
158	72	154	0	4
159	71	150	0	9
163	73	158	0	5
167	74	160	0	7
175	77	172	0	3
177	76	170	0	7
177	75	161	0	16
178	80	175	0	3
179	79	174	0	5
181	81	178	0	3
186	83	175	0	11
190	85	176	3	11
190	84	175	3	12
194	78	177	12	5
195	86	182	8	5
197	93	191	0	6
198	95	192	2	4
199	89	189	0	10
199	87	183	7	9
200	88	188	2	10
202	91	190	8	4
204	92	190	9	5
204	94	192	8	4
204	97	195	2	7
205	82	194	1	10
212	100	200	0	12
212	96	194	10	8
213	90	201	1	11
214	98	195	0	19
216	99	200	4	12

Missions: 100 [P: 48, E: 52]
Rovers: 9 [P: 4, E: 5]
Avg. Wait = 2.42, Avg. Exec = 7.99
Failures = 8
